id,OptVal,computeTime,Feasibility,
1,-0.834113862946,6483.249,1,
2,0,445.224,0,
3,-0.413354961239,413.934,1,
4,-0.848472200879,465.066,1,
5,-0.869935342276,579.954,1,
6,-0.488258319484,549.035,1,
7,-0.626726394655,616.784,1,
8,-0.545038760241,481.269,1,
9,-0.853378930259,437.349,1,
10,-0.41967420231,383.308,1,
11,-0.509794523818,367.142,1,
12,-0.65653176356,480.474,1,
13,-0.865949990837,396.05,1,
14,-0.29811004531,373.39,1,
15,-0.544282084726,359.807,1,
16,-0.840691119233,369.712,1,
17,-0.726926440771,398.07,1,
18,-0.472330994496,347.61,1,
19,-0.697871668903,368.616,1,
20,0,412.677,0,
21,-0.715480886803,333.719,1,
22,-0.644409775815,396.077,1,
23,-0.522207600629,347.827,1,
24,-0.197350134327,351.68,1,
25,-0.694362413113,386.026,1,
26,0,460.456,0,
27,-0.400510576407,351.043,1,
28,-0.655008903848,369.511,1,
29,-0.966683392546,377.023,1,
30,-0.287562140933,355.92,1,
31,0,369.057,0,
32,-0.874313706489,366.326,1,
33,0,353.095,0,
34,-0.929191258703,378.862,1,
35,-0.90864087735,346.53,1,
36,-0.450630149649,350.924,1,
37,-0.433077148319,370.922,1,
38,0,391.343,0,
39,-0.667339426986,380.358,1,
40,-0.288983641383,368.046,1,
41,-0.909398549486,360.738,1,
42,-0.704124179391,381.439,1,
43,0,371.833,0,
44,0,354.092,0,
45,-0.682585471999,326.669,1,
46,-0.826438300035,360.857,1,
47,-0.845145816498,359.271,1,
48,0,404.929,0,
49,-0.541034798782,362.889,1,
50,0,366.32,0,
51,-0.759399959733,368.641,1,
52,-0.950004139877,349.302,1,
53,-0.954948922466,374.544,1,
54,-0.988848468685,388.314,1,
55,-0.648660562844,407.717,1,
56,0,353.175,0,
57,-0.535617357119,369.654,1,
58,-1.02243018803,366.324,1,
59,-0.796379819619,351.771,1,
60,-1.05651003324,353.511,1,
61,-0.863948104694,409.783,1,
62,-0.595012424554,371.195,1,
63,0,346.626,0,
64,-0.442549936054,353.555,1,
65,-0.701589058218,371.44,1,
66,-0.582296312328,369.4,1,
67,-1.06184117045,391.378,1,
68,0,326.349,0,
69,-0.75554773819,349.051,1,
70,-0.886262352533,369.598,1,
71,0,371.29,0,
72,-0.763920859302,393.159,1,
73,-0.575742459168,371.626,1,
74,-0.565838869489,354.174,1,
75,-0.202119446392,418.457,1,
76,-0.98326253114,371.604,1,
77,-0.841428545371,369.291,1,
78,0,375.007,0,
79,-0.82119982394,377.106,1,
80,-0.128513079052,349.748,1,
81,-0.512490165213,370.859,1,
82,0,332.053,0,
83,-0.862638876137,330.058,1,
84,-0.788491827015,369.929,1,
85,-1.02616252953,351.785,1,
86,0,383.681,0,
