id,maxval,minval,computeTime,feasibility,
1,0.900469420617,-0.821419367383,45.992,1,
2,0.243264142642,-0.239762424598,24.184,1,
3,0.756406381188,-0.712329113926,23.434,1,
4,0.857115769993,-0.945160399877,26.563,1,
5,0.861061097506,-0.848718504811,28.231,1,
6,0.720638028153,-0.720137174926,25.267,1,
7,0.723642244886,-0.702490236406,26.383,1,
8,0.554664932624,-0.616656358206,26.773,1,
9,0.86604248265,-0.759388574633,24.294,1,
10,0.56546884693,-0.660783490671,25.842,1,
11,0.729787109242,-0.705653322523,27.805,1,
12,0.768710231427,-0.764742151939,25.993,1,
13,0.684245373199,-0.715685652552,20.436,1,
14,0.0614583822704,-0.0836361848747,10.215,1,
15,0.767605403265,-0.807176738992,23.151,1,
16,1.01623357814,-1.01639244868,26.435,1,
17,0.89634981919,-0.876968299272,10.647,1,
18,0.442906201383,-0.477163865515,26.577,1,
19,0.894213232058,-0.937401363142,24.82,1,
20,0.165010701207,-0.164547115377,25.25,1,
21,0.653829984843,-0.650917801684,25.955,1,
22,0.760835688707,-0.8831101147,23.891,1,
23,0.899449632438,-0.888202773864,26.123,1,
24,0.576898302839,-0.568246602694,23.141,1,
25,0.652423840915,-0.733783677257,27.651,1,
26,0.497759052181,-0.401572070983,25.901,1,
27,0.598492979621,-0.664851025435,25.959,1,
28,0.643901264804,-0.804492235917,27.962,1,
29,0.939215733117,-0.907231802426,20.004,1,
30,0.596780420156,-0.596624841389,24.787,1,
31,0.335051648586,-0.273760310428,24.978,1,
32,0.893135361455,-0.87169100936,18.98,1,
33,0.315209677883,-0.310634687781,23.157,1,
34,0.926374973862,-0.993334173457,26.791,1,
35,0.976533546927,-0.915465304441,13.92,1,
36,0.474559027634,-0.576667030261,22.765,1,
37,0.50136111658,-0.380005480518,14.716,1,
38,0.506156068561,-0.480908471242,23.628,1,
39,0.594216740164,-0.712805268426,13.426,1,
40,0.450038141664,-0.545683589379,14.838,1,
41,1.08176286456,-1.09125055542,19.801,1,
42,0.586934990932,-0.628561168149,24.229,1,
43,0.314754427681,-0.32155375028,24.23,1,
44,0.279695601,-0.287701871768,25.784,1,
45,0.836690007225,-0.840819025647,13.504,1,
46,0.976354689138,-0.781200679318,22.242,1,
47,0.804236573804,-0.911299941079,23.535,1,
48,0.301873577241,-0.305489046737,23.048,1,
49,0.489778221447,-0.516554017036,27.89,1,
50,0.315038745597,-0.377037773975,25.408,1,
51,0.688228211132,-0.743448977079,12.746,1,
52,1.04272613138,-1.01407354041,24.187,1,
53,0.982602927565,-1.00528646519,12.523,1,
54,0.928691830386,-0.992483858612,15.838,1,
55,0.742898720428,-0.710621754411,23.935,1,
56,0.335826032094,-0.303497135637,24.719,1,
57,0.932539779435,-0.882181570186,27.168,1,
58,0.94932746367,-0.949226599037,17.055,1,
