id,OptVal,computeTime,Feasibility,
1,-0.890643476496,6904.174,1,
2,0,959.394,0,
3,-0.687817067572,724.608,1,
4,-0.972647439772,562.083,1,
5,-0.872065022612,499.39,1,
6,-0.73439132661,575.24,1,
7,-0.799123816034,494.658,1,
8,-0.670725053323,567.735,1,
9,-0.872971928916,507.342,1,
10,-0.615298792729,506.774,1,
11,-0.709506613784,506.62,1,
12,-0.724743571963,584.534,1,
13,-0.930580890812,587.811,1,
14,-0.542423833582,519.325,1,
15,-0.774968372725,538.644,1,
16,-0.999223698212,537.463,1,
17,-0.872307429323,583.026,1,
18,-0.543441232496,541.328,1,
19,-0.918375862948,547.697,1,
20,0,652.327,0,
21,-0.755980534234,711.776,1,
22,-0.897344687329,664.321,1,
23,-0.823753794835,511.891,1,
24,-0.500703825695,524.965,1,
25,-0.826606612038,514.522,1,
26,-0.389167813821,499.523,1,
27,-0.636311084922,509.32,1,
28,-0.830075163173,538.739,1,
29,-0.980142663851,514.602,1,
30,-0.558476837245,541.665,1,
31,-0.242233678284,543.802,1,
32,-0.937153172153,517.485,1,
33,0,668.535,0,
34,-1.01306543172,548.1,1,
35,-0.995119441729,588.411,1,
36,-0.62566472889,541.841,1,
37,-0.379913700137,515.03,1,
38,-0.324587860892,551.499,1,
39,-0.699527569526,525.371,1,
40,-0.516656899265,582.574,1,
41,-1.08793268727,567.768,1,
42,-0.716104746806,552.925,1,
43,-0.258126436532,513.7,1,
44,0,658.441,0,
45,-0.832499436063,556.281,1,
46,-0.862176755379,567.635,1,
47,-0.884889446955,516.902,1,
48,-0.328454972767,537.092,1,
49,-0.551298977196,556.406,1,
50,-0.341472579917,538.846,1,
51,-0.697520860115,578.18,1,
52,-1.07147473913,544.211,1,
53,-1.0021957077,556.965,1,
54,-1.00685229762,484.946,1,
55,-0.68410038603,534.904,1,
56,-0.202280034757,545.899,1,
57,-0.860905922211,587.675,1,
58,-1.02758854312,505.403,1,
59,-0.81832415346,503.543,1,
60,-1.07386175257,538.659,1,
61,-0.950698647502,544.183,1,
62,-0.744341059608,516.062,1,
63,-0.130537062394,546.377,1,
64,-0.588846947584,582.217,1,
65,-0.898522357255,546.479,1,
66,-0.666333332658,534.652,1,
67,-1.05645670449,459.401,1,
68,-0.124077802199,478.545,1,
69,-0.813032328459,569.029,1,
70,-0.9074054943,515.052,1,
71,-0.277015334893,580.718,1,
72,-0.844591081516,540.252,1,
73,-0.799644351807,517.78,1,
74,-0.713339184102,572.763,1,
75,-0.428508754593,589.049,1,
76,-0.975088488241,605.986,1,
77,-0.84368238513,541.334,1,
78,-0.205227143902,601.028,1,
79,-1.01641378398,537.06,1,
80,-0.341085446932,578.621,1,
81,-0.790717861581,597.346,1,
82,-0.116433622201,507.161,1,
83,-0.979105813392,509.76,1,
84,-0.912798953687,509.795,1,
85,-1.0703715225,536.762,1,
86,-0.414353654106,586.844,1,
87,-0.623606525214,626.421,1,
88,-0.592806986564,514.866,1,
89,-1.06335791209,529.697,1,
90,-0.520937261777,536.208,1,
91,-0.869465478479,562.913,1,
92,-0.964701277152,511.671,1,
93,-0.859652753651,566.312,1,
94,0,637.571,0,
95,-1.02955269453,451.295,1,
96,-1.04458403046,512.117,1,
97,-1.01832202324,536.267,1,
98,-0.938076225043,559.915,1,
99,-0.789106779599,532.632,1,
100,-0.228628556974,583.178,1,
101,-0.960654561305,510.836,1,
102,-0.859681194217,502.255,1,
103,-0.611666765583,484.236,1,
104,-0.743107346124,535.028,1,
105,-0.595458396907,504.37,1,
106,-0.792009175638,517.187,1,
107,-0.957789967227,534.078,1,
108,-0.706497023091,576.713,1,
109,-0.873330074759,564.075,1,
110,-1.17372285739,512.948,1,
111,-0.690989320276,537.781,1,
112,-0.609669304442,538.695,1,
113,-1.17525167458,555.815,1,
114,-0.818305878659,473.676,1,
115,-0.137264469008,535.6,1,
116,-0.311304324878,534.397,1,
117,-0.842922135268,541.678,1,
118,-0.94255362081,531.418,1,
119,-0.900267930746,590.371,1,
120,-0.336004990893,620.416,1,
121,-0.723712726425,514.721,1,
122,-0.499812646389,502.159,1,
123,0,636.342,0,
124,-1.08879723071,567.067,1,
125,-0.221982945856,536.581,1,
126,-0.462051653311,528.182,1,
127,-0.732645227827,502.066,1,
128,-0.75563061098,532.717,1,
129,-0.191680322238,538.539,1,
130,-0.453014289645,512.863,1,
131,-0.69022725831,539.003,1,
132,-0.342333183834,504.427,1,
133,-0.370598677056,512.004,1,
134,-1.00448981575,504.721,1,
135,-0.793275214298,520.877,1,
136,-1.05854780281,511.79,1,
137,0,647.709,0,
138,-1.00514032992,535.57,1,
139,-1.14541444139,537.344,1,
140,-0.198116634736,510.992,1,
141,-0.811773895171,512.726,1,
142,-0.0543007870271,552.311,1,
143,-1.03376904704,619.278,1,
144,-0.820892073119,558.092,1,
145,-1.11207347824,551.032,1,
146,-0.415846612623,553.245,1,
147,-1.02183523747,544.195,1,
148,-1.0849800756,512.148,1,
149,-1.13802477424,512.188,1,
150,-0.876677119179,538.467,1,
151,-0.365688172451,513.06,1,
152,-0.366306702713,537.972,1,
153,-0.642289421023,503.516,1,
154,-0.763767558599,563.531,1,
155,-0.821793287041,544.795,1,
156,-0.613040978662,500.067,1,
157,-0.725143574151,590.482,1,
158,-0.863188732182,509.671,1,
159,-0.330451141834,549.971,1,
160,-0.302528785799,542.309,1,
161,-0.0828749412564,545.435,1,
162,-1.05483311975,591.177,1,
163,-1.01745728408,513.925,1,
164,0,703.703,0,
165,-1.13670279154,512.235,1,
166,-0.887761893282,585.024,1,
167,-1.0061239328,572.103,1,
168,-0.841597493832,557.74,1,
169,-1.05445619471,535.008,1,
170,-0.694113096833,536.576,1,
171,-0.304254458134,504.191,1,
172,-0.600688881156,564.21,1,
173,-0.387382526819,518.667,1,
174,-0.86704316288,511.512,1,
175,-0.785596722712,560.896,1,
176,0,589.025,0,
177,-0.394410173333,523.381,1,
178,-0.601337302471,508.904,1,
179,-0.984833073182,473.511,1,
180,-0.294728463574,516.745,1,
181,-0.536836643287,556.001,1,
182,-0.659087417305,547.932,1,
183,-0.670011935625,564.139,1,
184,-0.319588062784,531.657,1,
185,-0.353175741172,502.023,1,
186,0,681.85,0,
187,-0.971506393065,516.287,1,
188,-0.612910166711,535.365,1,
189,-0.443718534942,601.101,1,
190,-0.762454565772,565.751,1,
191,-0.555235580884,510.214,1,
192,-0.558893534875,539.189,1,
193,-1.10095850317,603.666,1,
194,-0.744354175044,541.683,1,
195,-0.977715697773,512.921,1,
196,-0.916157683543,541.608,1,
197,-0.747175572646,532.402,1,
198,-0.726204738238,542.593,1,
199,-0.535832222008,531.994,1,
200,-0.726007044233,552.334,1,
201,-1.02340901312,469.394,1,
202,-0.390464474266,538.092,1,
203,-0.468383893427,528.38,1,
204,-0.964919671106,534.829,1,
205,-0.656753904205,535.009,1,
206,-1.12294265302,480.05,1,
207,-0.631346122832,500.987,1,
208,-0.960642464491,540.56,1,
209,-0.884930908839,503.271,1,
210,-0.674494207019,548.907,1,
211,-0.367829050219,578.393,1,
212,-0.879354980791,557.531,1,
213,-0.388821291566,530.507,1,
214,-0.939146014361,505.02,1,
215,-0.677998199098,562.582,1,
216,-0.467979177299,508.224,1,
217,-1.00113213265,512.6,1,
218,-1.04847279558,478.203,1,
219,-0.78728188624,601.303,1,
220,-0.957553589333,548.726,1,
221,-0.941239113046,536.152,1,
222,-0.692827942404,557.406,1,
223,-0.743320048925,530.291,1,
224,-0.705133748485,499.317,1,
225,-0.91961117176,502.778,1,
226,-0.999028480534,505.457,1,
227,-0.486583690069,552.789,1,
228,-0.532773592328,558.243,1,
229,-0.565439328276,534.862,1,
230,0,546.886,0,
231,-0.822638423641,525.058,1,
232,-0.502878922245,562.564,1,
233,-1.08572445694,512.126,1,
234,-0.93027461171,599.619,1,
235,-0.97168029621,513.225,1,
236,-0.441833985057,555.538,1,
237,-0.343705456698,543.686,1,
238,-0.347728315883,541.757,1,
239,-0.651998884821,509.648,1,
240,-0.984782411841,550.081,1,
241,-0.925571454812,561.068,1,
242,-0.43289582589,535.084,1,
243,-0.655356862869,569.588,1,
244,-0.637011956927,531.071,1,
245,-1.071768567,513.514,1,
246,-0.114305313225,541.85,1,
247,-0.843521065281,543.551,1,
248,-0.846367402141,519.772,1,
249,-0.954958867362,607.626,1,
250,0,577.658,0,
251,-0.699364975561,533.61,1,
252,-0.915849799799,509.852,1,
253,-0.866728227284,534.235,1,
254,-0.478533556176,472.976,1,
255,-0.515420564969,536.829,1,
256,-1.05933348765,534.494,1,
257,-0.903733544827,506.003,1,
258,-0.728302405445,530.017,1,
259,-1.04070898897,593.617,1,
260,-0.226193105881,503.524,1,
261,-0.808651372183,562.746,1,
262,-0.192037695746,524.797,1,
263,-0.201052065115,514.678,1,
264,-1.01647644759,534.694,1,
265,0,699.381,0,
266,-0.839220768162,513.696,1,
267,0,674.734,0,
268,-0.607364113394,533.442,1,
269,-1.16156908678,517.323,1,
270,-0.733280297605,508.272,1,
271,-1.03058328829,539.93,1,
272,-1.07861663692,505.593,1,
273,-0.571438839459,560.279,1,
274,-0.776546649292,536.92,1,
275,-0.849460032688,566.709,1,
276,-0.187975455847,544.333,1,
277,-0.779831110024,539.239,1,
278,-0.412245613038,614.121,1,
279,-1.10383986726,517.224,1,
280,-1.16326700162,511.929,1,
281,-0.61438076799,554.125,1,
282,-0.957050213721,506.854,1,
283,-0.673205542089,518.295,1,
284,-0.799768849931,544.395,1,
285,-0.705990426133,565.503,1,
286,-0.981908372802,507.327,1,
287,-0.88420187911,478.544,1,
288,-0.91462756721,485.119,1,
289,-0.777467697541,524.444,1,
290,-0.633544062795,505.82,1,
291,-0.154887088523,549.681,1,
292,-0.695362786193,528.834,1,
293,-0.684188801447,532.932,1,
294,-0.538364968365,558.042,1,
295,-1.00980023999,571.658,1,
296,-0.650052912216,570.994,1,
297,-0.201377748151,510.234,1,
298,-0.931753037969,513.653,1,
299,0,638.642,0,
300,-0.69848046999,536.857,1,
301,-0.760097517989,566.051,1,
302,-0.991053116965,534.744,1,
303,-0.867255546398,567.671,1,
304,-0.63598088324,572.469,1,
305,-1.00664767023,536.658,1,
306,-1.13563927624,537.76,1,
307,-0.89141745084,507.055,1,
308,-0.449161439601,625.984,1,
309,-0.978900752829,505.713,1,
310,-0.281318874104,565.996,1,
311,-0.344688684996,529.772,1,
312,-0.961397288515,503.272,1,
313,-0.793525860495,509.515,1,
314,0,578.669,0,
315,-0.443714846497,507.893,1,
316,-0.912601592706,554.873,1,
317,0,584.629,0,
318,-0.812441299686,537.748,1,
319,-0.940668247999,513.395,1,
320,-0.993637651032,509.734,1,
321,-0.578261789117,546.743,1,
322,-0.955220615591,604.935,1,
323,-0.321296870088,510.982,1,
324,-0.871349381694,510.076,1,
325,-0.865333204833,534.206,1,
326,-0.921699021756,502.674,1,
327,-0.593718278802,590.454,1,
328,-0.359396830456,552.337,1,
329,-1.04993834338,505.683,1,
330,-0.940837012902,481.759,1,
331,-0.486139408094,635.125,1,
332,-0.330846429309,547.603,1,
333,-0.582914625116,594.325,1,
334,-0.894216802388,560.596,1,
335,-0.308198722517,570.943,1,
336,0,607.513,0,
337,-0.530587558954,537.149,1,
338,-0.894906472245,529.004,1,
339,-0.275019639797,568.657,1,
340,-0.88813258342,582.402,1,
341,-0.354626851217,568.321,1,
342,-1.05048684396,530.526,1,
343,-0.7355746199,508.817,1,
344,-0.506454073455,525.186,1,
345,-0.956099084628,565.311,1,
346,-0.622786057325,536.098,1,
347,-1.14422994803,513.157,1,
348,0,614.587,0,
349,-0.883277120868,569.967,1,
350,-0.240395700078,531.772,1,
351,-0.849791454919,540.021,1,
352,0,578.865,0,
353,-0.333773912853,568.34,1,
354,-0.919058391796,515.821,1,
355,-0.518000602593,587.503,1,
356,-0.685250564373,569.194,1,
357,-0.830986862213,594.165,1,
358,-0.379330636383,570.486,1,
359,-0.913671448024,590.811,1,
360,-0.872982383551,505.814,1,
361,-0.708852687862,509.63,1,
362,-0.954269618521,484.018,1,
363,-0.550426751258,536.137,1,
364,-0.986225599175,541.301,1,
365,-0.748187581827,503.46,1,
366,-0.429061275131,586.195,1,
367,-1.06726719804,479.661,1,
368,-0.744378456348,530.036,1,
369,-0.859133873935,561.392,1,
370,-0.923484497473,566.451,1,
371,-0.900456439889,613.021,1,
372,-0.935733486943,533.243,1,
373,-0.883958758194,509.798,1,
374,-0.724821636493,531.828,1,
375,-0.474226266742,502.15,1,
376,-0.504314882903,625.269,1,
377,-0.940585630138,529.287,1,
378,-0.955995295785,537.596,1,
379,-1.09473133528,584.812,1,
