id,OptVal,computeTime,Feasibility,
1,-0.892541514584,11459.66,1,
2,-0.951539896722,847.054,1,
3,-0.489471713268,887.976,1,
4,-0.849040439986,851.723,1,
5,-0.598264859553,1069.837,1,
6,-0.812097485115,842.098,1,
7,-0.945740685146,1026.766,1,
8,-0.432738505972,1214.81,1,
9,-0.42968355518,995.12,1,
10,-0.634202600534,872.385,1,
11,-0.417139925785,968.454,1,
12,-1.13019982632,869.547,1,
13,-0.745505858484,960.311,1,
14,-0.742935809293,889.715,1,
15,-1.09928061763,1019.135,1,
16,-0.961085656394,903.64,1,
17,-0.0560776147222,1057.308,1,
18,-0.975178250082,1004.805,1,
19,-0.685600806646,947.09,1,
20,-0.931525994812,1151.116,1,
21,-1.17836199516,998.959,1,
22,-0.342434194136,904.327,1,
23,-0.880244555149,927.269,1,
24,-0.870420273723,1006.178,1,
25,-0.548120741341,1114.045,1,
26,-0.622709113485,996.242,1,
27,-1.03915907797,939.711,1,
28,-0.121644806185,871.318,1,
29,-0.691421378522,933.808,1,
30,-0.863844177689,1005.086,1,
31,-0.472813732188,1029.412,1,
32,-1.10492255736,1017.114,1,
33,-0.935851018554,1082.141,1,
34,-0.504866463291,967.059,1,
35,-0.922559383316,1263.211,1,
36,-0.144554054868,1075.253,1,
37,-0.931751409325,839.711,1,
38,-1.11821977644,1135.709,1,
39,-0.441712819842,992.327,1,
40,-0.885310531679,841.975,1,
41,0,1082.275,0,
42,-0.337801882596,1035.995,1,
43,-0.757278625952,1017.548,1,
44,-0.967546034442,774.419,1,
45,-0.544399710298,1006.714,1,
46,-1.05121702823,1093.277,1,
47,-0.712905450119,927.042,1,
48,-0.739061618154,892.091,1,
49,-0.917875532458,800.657,1,
50,-0.878529352415,1130.869,1,
51,0,1693.418,0,
52,-0.572642258012,1189.477,1,
53,-0.77297272303,1022.002,1,
54,-0.890547396297,859.807,1,
55,0,1124.37,0,
56,-0.104187751434,975.629,1,
57,-0.659891502159,812.517,1,
58,-0.270735255401,889.396,1,
59,-0.818039196838,1052.1,1,
60,-0.843387623103,931.718,1,
61,-0.968447241339,976.834,1,
62,0,951.579,0,
63,0,1013.283,0,
64,-1.0133685128,1011.536,1,
65,-0.415797646077,944.599,1,
66,-0.462110665411,914.109,1,
67,-0.602402708039,810.647,1,
68,-0.553484985109,943.97,1,
69,-0.645109527824,1020.364,1,
70,-0.498670529744,1099.704,1,
71,-0.843948550255,924.822,1,
